subject,trial_id,condition,onset_s,tr_s,tr_relative,time_from_cue_s,nacc_psc,vta_psc
sub-14,9,neutral,100.0,1.0,8,8.0,0.45136940479278564,0.41545939445495605
sub-14,9,neutral,100.0,1.0,9,9.0,0.10423882305622101,-0.046930503100156784
sub-14,9,neutral,100.0,1.0,10,10.0,0.3873496949672699,-0.635503351688385
sub-14,9,neutral,100.0,1.0,11,11.0,0.1640595644712448,0.011179333552718163
sub-14,9,neutral,100.0,1.0,12,12.0,0.26427358388900757,-0.14322355389595032
sub-14,9,neutral,100.0,1.0,13,13.0,0.892618715763092,0.03275974467396736
sub-14,10,reward,120.0,1.0,-2,-2.0,-1.3064006567001343,0.03359474986791611
sub-14,10,reward,120.0,1.0,-1,-1.0,-0.6833864450454712,0.13237661123275757
sub-14,10,reward,120.0,1.0,0,0.0,0.6498914361000061,0.3490481376647949
sub-14,10,reward,120.0,1.0,1,1.0,0.016215357929468155,-0.7409247159957886
sub-14,10,reward,120.0,1.0,2,2.0,0.4925173223018646,-0.16315017640590668
sub-14,10,reward,120.0,1.0,3,3.0,0.23036257922649384,0.03608354926109314
sub-14,10,reward,120.0,1.0,4,4.0,0.12976156175136566,0.24528057873249054
sub-14,10,reward,120.0,1.0,5,5.0,0.982170820236206,0.6395973563194275
sub-14,10,reward,120.0,1.0,6,6.0,-0.16478519141674042,0.11743570119142532
sub-14,10,reward,120.0,1.0,7,7.0,-0.8548667430877686,-0.39558953046798706
sub-14,10,reward,120.0,1.0,8,8.0,-0.17697574198246002,-0.6438047885894775
sub-14,10,reward,120.0,1.0,9,9.0,0.3481077551841736,0.4470030963420868
sub-14,10,reward,120.0,1.0,10,10.0,0.4776564836502075,0.7583057880401611
sub-14,10,reward,120.0,1.0,11,11.0,0.2326458841562271,-0.15567566454410553
sub-14,10,reward,120.0,1.0,12,12.0,0.3160930573940277,0.8878045082092285
sub-14,10,reward,120.0,1.0,13,13.0,-0.41970300674438477,-0.1722784787416458
sub-14,11,reward,134.0,1.0,-2,-2.0,0.3160930573940277,0.8878045082092285
sub-14,11,reward,134.0,1.0,-1,-1.0,-0.41970300674438477,-0.1722784787416458
sub-14,11,reward,134.0,1.0,0,0.0,-0.06418418139219284,0.6371085047721863
sub-14,11,reward,134.0,1.0,1,1.0,0.2734164893627167,0.5275283455848694
sub-14,11,reward,134.0,1.0,2,2.0,-0.41932567954063416,0.12573710083961487
sub-14,11,reward,134.0,1.0,3,3.0,-0.5892676711082458,-0.5350515246391296
sub-14,11,reward,134.0,1.0,4,4.0,-1.059106707572937,0.02860904112458229
sub-14,11,reward,134.0,1.0,5,5.0,0.723054051399231,0.6105424165725708
sub-14,11,reward,134.0,1.0,6,6.0,0.21206709742546082,-0.11915434896945953
sub-14,11,reward,134.0,1.0,7,7.0,0.437650203704834,0.0917045846581459
sub-14,11,reward,134.0,1.0,8,8.0,0.347720742225647,-0.07100781798362732
sub-14,11,reward,134.0,1.0,9,9.0,0.060410916805267334,-0.6255400776863098
sub-14,11,reward,134.0,1.0,10,10.0,-0.11601334065198898,0.4021722674369812
sub-14,11,reward,134.0,1.0,11,11.0,-0.023036258295178413,0.27018478512763977
sub-14,11,reward,134.0,1.0,12,12.0,-0.18345801532268524,-0.5093203783035278
sub-14,11,reward,134.0,1.0,13,13.0,-0.7687492370605469,-0.8845455050468445
sub-14,12,reward,145.0,1.0,-2,-2.0,0.060410916805267334,-0.6255400776863098
sub-14,12,reward,145.0,1.0,-1,-1.0,-0.11601334065198898,0.4021722674369812
sub-14,12,reward,145.0,1.0,0,0.0,-0.023036258295178413,0.27018478512763977
sub-14,12,reward,145.0,1.0,1,1.0,-0.18345801532268524,-0.5093203783035278
sub-14,12,reward,145.0,1.0,2,2.0,-0.7687492370605469,-0.8845455050468445
sub-14,12,reward,145.0,1.0,3,3.0,-0.09657619893550873,-0.49354448914527893
sub-14,12,reward,145.0,1.0,4,4.0,0.723054051399231,-0.09258823096752167
sub-14,12,reward,145.0,1.0,5,5.0,0.20711347460746765,-0.5176218152046204
